date,team_name,opponent,xGF,xGA,xGF%,CF%,FF%,SF%,HDCF%,SCF%,PDO
2021-10-28,Pittsburgh Penguins,Calgary Flames,2.9,1.91,60.34,55.05,55.56,54.55,58.82,54.72,0.867
2021-10-28,Boston Bruins,Carolina Hurricanes,2.53,1.82,58.18,56.25,55.38,61.7,52.38,56.76,0.944
2021-10-28,Carolina Hurricanes,Boston Bruins,1.82,2.53,41.82,43.75,44.62,38.3,47.62,43.24,1.056
2021-10-28,Colorado Avalanche,St Louis Blues,2.18,1.01,68.25,62.35,65.0,66.67,100.0,63.64,0.912
2021-10-28,St Louis Blues,Colorado Avalanche,1.01,2.18,31.75,37.65,35.0,33.33,0.0,36.36,1.088
2021-10-28,Philadelphia Flyers,Vancouver Canucks,1.23,1.54,44.45,55.56,53.7,58.97,36.36,51.61,0.981
2021-10-28,Vancouver Canucks,Philadelphia Flyers,1.54,1.23,55.55,44.44,46.3,41.03,63.64,48.39,1.019
2021-10-28,Anaheim Ducks,Buffalo Sabres,2.75,1.92,58.87,53.61,55.13,59.65,80.0,56.6,0.972
2021-10-28,Buffalo Sabres,Anaheim Ducks,1.92,2.75,41.13,46.39,44.87,40.35,20.0,43.4,1.028
2021-10-28,Los Angeles Kings,Winnipeg Jets,2.22,2.39,48.12,51.16,51.52,53.85,43.48,48.94,0.988
2021-10-28,Winnipeg Jets,Los Angeles Kings,2.39,2.22,51.88,48.84,48.48,46.15,56.52,51.06,1.012
2021-10-28,Montreal Canadiens,San Jose Sharks,2.12,2.03,51.02,40.0,42.62,44.0,44.44,35.0,1.091
2021-10-28,San Jose Sharks,Montreal Canadiens,2.03,2.12,48.98,60.0,57.38,56.0,55.56,65.0,0.909
2021-10-28,Minnesota Wild,Seattle Kraken,1.23,2.35,34.48,41.46,40.63,42.31,28.57,34.15,0.979
2021-10-28,Seattle Kraken,Minnesota Wild,2.35,1.23,65.52,58.54,59.38,57.69,71.43,65.85,1.021
